sku_id,sku_name,model_code,sports,family_id,family_name_en,code_e,ue
2698457,"KIPRUN SKINCARE TS BLACK, M",8548024,ROAD RUNNING,12031,W RUN CLOTHES,E,1
2612491,"KIPRUN LIGHT SHORT W W Shorts BLK, 2XS",8519097,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2612460,"KIPRUN LIGHT TANK W W Tan, UK 10 - EU 38",8519092,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2612459,"KIPRUN LIGHT TANK W W Tank, UK 8 - EU 36",8519092,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2612446,"KIPRUN LIGHT TANK W YELLOW, UK 8 - EU 36",8519090,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2607008,"FEL 120 CN, No Size",8517686,FITNESS CARDIO,695,FIT ELLIPTICAL,E,1
2508783,"KIPRUN COMPR 3/4 TIGHT b, 70-80kg/>167cm",8489338,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2506976,"KIPRUN FAST W WHITE YELL, UK 5.5 - EU 39",8488755,ROAD RUNNING,11887,W RUN SHOE,N,1
2506972,"KIPRUN FAST W WHITE YELLOW, UK 4 - EU 37",8488755,ROAD RUNNING,11887,W RUN SHOE,N,1
2502653,"TS KIPRUN LIGHT W WHITE, UK 16 - EU 44",8488179,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2502648,"TS KIPRUN LIGHT W WHITE, UK 6 - EU 34",8488179,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2502644,"TS KIPRUN LIGHT W AMBASSA, UK 10 - EU 38",8488178,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2501887,"KIPRUN FAST W PURPLE WHI, UK 6.5 - EU 40",8488079,ROAD RUNNING,11887,W RUN SHOE,N,1
2501883,"KIPRUN FAST W PURPLE WHITE, UK 5 - EU 38",8488079,ROAD RUNNING,11887,W RUN SHOE,N,1
2491777,"KIPRUN FAST W PURPLE WHI, UK 2.5 - EU 35",8488079,ROAD RUNNING,11887,W RUN SHOE,N,1
2477957,"KIPRUN RAIN JACKET GREEN, UK 8 - EU 36",8504620,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2470192,"KIPRUN CARE LG SL TEE W GREY, S",8503949,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2465811,"KIPRUN FAST W DARK GREY, UK 6.5 - EU 40",8513546,ROAD RUNNING,11887,W RUN SHOE,N,1
2465716,"KIPRUN LONG W BLACK SILV, UK 5.5 - EU 39",8513539,ROAD RUNNING,11887,W RUN SHOE,N,1
2465712,"KIPRUN LONG W BLACK SILV, UK 2.5 - EU 35",8513539,ROAD RUNNING,11887,W RUN SHOE,N,1
2421200,"TS KIPRUN LIGHT W T-shirt, UK 10 - EU 38",8505478,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2421198,"TS KIPRUN LIGHT W T-shirt, UK 6 - EU 34",8505478,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2421154,"KIPRUN CARE TS W T-shirt CDF, XL",8505470,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2421147,"KIPRUN CARE TS W FLUO GREEN, S",8505469,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2421136,"TANK KIPRUN CARE W GREEN, XL",8505467,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2195114,"KIPRUN LIGHT+ SHORT BLACK, M",8384512,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2195110,"KIPRUN LIGHT+ SHORT BLACK, 3XS",8384512,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2172438,"KIPRUN CARE 3/4 TIGHT W BLACK CORAL, S",8379931,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2698460,"KIPRUN SKINCARE TS BLACK, XS",8548024,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2698459,"KIPRUN SKINCARE TS BLACK, XL",8548024,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2663149,"FEL 500 NORM CN, No Size",8528969,FITNESS CARDIO,695,FIT ELLIPTICAL,E,1
2612462,"KIPRUN LIGHT TANK W W Tan, UK 14 - EU 42",8519092,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2612448,"KIPRUN LIGHT TANK W YELLO, UK 12 - EU 40",8519090,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2508781,"KIPRUN COMPR 3/4 TIGHT b, 60-70kg/<167cm",8489338,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2508778,"KIPRUN COMPR 3/4 TIGHT b, 40-50kg/<167cm",8489338,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2506978,"KIPRUN FAST W WHITE YELL, UK 6.5 - EU 40",8488755,ROAD RUNNING,11887,W RUN SHOE,N,1
2506974,"KIPRUN FAST W WHITE YELLOW, UK 5 - EU 38",8488755,ROAD RUNNING,11887,W RUN SHOE,N,1
2502651,"TS KIPRUN LIGHT W WHITE, UK 12 - EU 40",8488179,ROAD RUNNING,12031,W RUN CLOTHES,E,1
2502646,"TS KIPRUN LIGHT W AMBASSA, UK 14 - EU 42",8488178,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2502642,"TS KIPRUN LIGHT W AMBASSAD, UK 6 - EU 34",8488178,ROAD RUNNING,12031,W RUN CLOTHES,N,1
2501889,"KIPRUN FAST W PURPLE WHITE, UK 7 - EU 41",8488079,ROAD RUNNING,11887,W RUN SHOE,N,1
2501885,"KIPRUN FAST W PURPLE WHI, UK 5.5 - EU 39",8488079,ROAD RUNNING,11887,W RUN SHOE,N,1
2501881,"KIPRUN FAST W PURPLE WHITE, UK 4 - EU 37",8488079,ROAD RUNNING,11887,W RUN SHOE,N,1
